t,Yt
01/01/51,318
01/02/51,281
01/03/51,278
01/04/51,250
01/05/51,231
01/06/51,216
01/07/51,223
01/08/51,245
01/09/51,269
01/10/51,302
01/11/51,325
01/12/51,347
01/01/52,342
01/02/52,309
01/03/52,299
01/04/52,268
01/05/52,249
01/06/52,236
01/07/52,242
01/08/52,262
01/09/52,288
01/10/52,321
01/11/52,342
01/12/52,364
01/01/53,367
01/02/53,328
01/03/53,320
01/04/53,287
01/05/53,269
01/06/53,251
01/07/53,259
01/08/53,284
01/09/53,309
01/10/53,345
01/11/53,367
01/12/53,394
01/01/54,392
01/02/54,349
01/03/54,342
01/04/54,311
01/05/54,290
01/06/54,273
01/07/54,282
01/08/54,305
01/09/54,328
01/10/54,364
01/11/54,389
01/12/54,417
01/01/55,420
01/02/55,378
01/03/55,370
01/04/55,334
01/05/55,314
01/06/55,296
01/07/55,305
01/08/55,330
01/09/55,356
01/10/55,396
01/11/55,422
01/12/55,452
01/01/56,453
01/02/56,412
01/03/56,398
01/04/56,362
01/05/56,341
01/06/56,322
01/07/56,335
01/08/56,359
01/09/56,392
01/10/56,427
01/11/56,454
01/12/56,483
01/01/57,487
01/02/57,440
01/03/57,429
01/04/57,393
01/05/57,370
01/06/57,347
01/07/57,357
01/08/57,388
01/09/57,415
01/10/57,457
01/11/57,491
01/12/57,516
01/01/58,529
01/02/58,477
01/03/58,463
01/04/58,423
01/05/58,398
01/06/58,380
01/07/58,389
01/08/58,419
01/09/58,448
01/10/58,493
01/11/58,526
01/12/58,560